,机构名称,学校机构办学类型,经度,纬度
93,上海市闵行区莘松中学,初级中学,121.40015455105203,31.10822272201989
94,上海市闵行区颛桥中学,初级中学,121.39866850568227,31.07238474282556
95,上海市闵行区浦江第二中学,初级中学,121.52878662878737,31.059808366484354
96,上海市闵行区鹤北初级中学,初级中学,121.40375388416817,31.010400491914798
97,上海市闵行区浦江第三中学,初级中学,121.52878662878737,31.059808366484354
98,上海市闵行区梅陇中学,初级中学,121.40506664107654,31.13413664624648
99,上海市七宝实验中学,初级中学,121.37748134177524,31.164914867151484
100,上海市闵行第五中学,初级中学,121.41406526405004,31.008945489805786
101,上海市泸定中学,初级中学,121.40931581479231,31.203366862855262
102,上海市天山第二中学,初级中学,121.39138106457678,31.21423550799485
103,上海市青云中学,初级中学,121.46461180631054,31.262404620856735
104,上海市闸北成功教育实验中学,初级中学,121.45687095809674,31.269257217326764
105,上海市风华初级中学,初级中学,121.45436574301633,31.293829104246992
106,上海市和田中学,初级中学,121.45045262536371,31.27649434020209
107,上海市青浦区凤溪中学,初级中学,121.22376776968673,31.185325733354627
108,上海市盛桥中学,初级中学,121.39817886058616,31.457346190828144
109,上海市洵阳中学,初级中学,121.42095738398163,31.253622544391813
110,上海市真北中学,初级中学,121.39138715150078,31.259059975622012
111,上海市临港第一中学,初级中学,121.91548096776219,30.886205243171585
112,上海市金杨中学,初级中学,121.5723072860268,31.250740365255265
113,上海市新云台中学,初级中学,121.54442212339589,31.18376845536545
114,上海市嘉定区南苑中学,初级中学,121.23789771052996,31.36453236215974
115,上海市海南中学,初级中学,121.48138367132225,31.250485522773666
116,上海市继光初级中学,初级中学,121.49377893075535,31.260513877326435
117,上海市山阳中学,初级中学,121.36187146288556,30.770816944346777
118,上海市金山区教师进修学院附属中学,初级中学,121.33349240894464,30.719026009732218
119,上海市曲阳第二中学,初级中学,121.49136443170153,31.28188556846054
120,上海市复兴实验中学,初级中学,121.47013203746359,31.290866465007248
121,上海市虹口区教育学院实验中学,初级中学,121.47969278030232,31.262270430545737
122,上海市江湾初级中学,初级中学,121.47114547775654,31.301246105501328
123,上海市北海中学,初级中学,121.42186502874151,31.259477932867167
124,上海市罗星中学,初级中学,121.16560767948918,30.900562638169575
