,地址,经度,纬度
肯德基(百联中环购物广场),真光路1288号上海百联国际广场1层A-L114、2层A-L214,121.379860017548,31.246913258726494
肯德基(万里店),新村路1500-3号家乐福B1-1层,121.40607125643837,31.269826997748165
肯德基(曹杨店),兰溪路137号曹杨商城F1层,121.40034400190501,31.24124019027942
肯德基(新曹杨店),曹杨路648号一层A商铺(地铁3/11/4号线曹杨路站),121.41200544510647,31.240769793243118
肯德基(新邻天地店),白丽路263-267号桃浦新邻天地1-2层,121.3436890038773,31.282996416807542
肯德基(金沙江店)(暂停营业),金沙江路1685号118广场1层,121.37416481778405,31.233613144662687
肯德基(玉田店),玉田路280号,121.48711025506243,31.281351109246835
肯德基(东江湾店),欧阳路街道东江湾路444号5号门小白楼1层101室,121.47566408831115,31.272341563269833
肯德基(天宝店),新港路229-245号1层11号,121.4943851761936,31.2715649416495
肯德基(凉城店),车站南路370号世纪联华1层,121.47088497294598,31.297123020064607
肯德基(瑞虹坊),临平路123号瑞虹休闲时尚广场1层,121.49500313051112,31.26298447359474
肯德基(天潼店),天潼路538号,121.47864954213208,31.246221503980916
肯德基2,逸仙路600-1号附近,121.48062207356564,31.308347223524535
肯德基(利通广场店),四川北路1350号利通广场1层,121.47991923166535,31.254472498515728
肯德基3,大连路690号附近,121.50723016203197,31.261186691733137
肯德基(赤峰店)(装修中),中山北二路赤峰路轻轨站1层,121.47800813539372,31.28363753358273
肯德基(逸仙店)(装修中),逸仙路580号华联吉买盛江湾店1层,121.48015058096506,31.306612525734238
肯德基(隆昌店),隆昌路586号101,121.5391913219751,31.27703590964988
肯德基(沪东店),平凉路1500号-1号,121.5355978562075,31.267846499974684
肯德基(淞沪店),淞沪路8号百联又一城购物中心7F层7F-06/7F-07,121.51141233420667,31.303632355287533
肯德基(万达广场五角场店),国宾路58号1119,121.50926277677974,31.30362410725681
肯德基(延吉店),靖宇东路280号杨浦商贸延吉商业中心F1层,121.53149669299698,31.29116383346939
肯德基(国顺店),国顺东路180-4号,121.53168228725592,31.302756674921838
肯德基(邯郸店),邯郸路585号苏宁生活广场B1层,121.51005077456243,31.301015429497486
肯德基(大润发店),黄兴路1618号大润发超市1层,121.517463323271,31.2906887613726
肯德基(四平路店),四平路901-903号,121.4968174471485,31.27739977279671
肯德基(嫩江店),中原路102号欧尚中原店1层,121.5282625788697,31.316348806882303
肯德基(长海店),长海路359-363号1-2层,121.52218737386626,31.311884446865083
肯德基(控江店),双辽路768号(近控江路),121.51100925258592,31.27598940522683
肯德基4,莘庄镇莘福路288号彩生活时代广场一层,121.35813681004522,31.105504220493202
肯德基(龙城店),七莘路3655号凯德七宝购物广场F1层1-70/2-48a,121.33769986180324,31.166476704019665
肯德基(吴泾店),宝秀路667号,121.45951395232348,31.04456668256347
肯德基(华漕大润发店),繁兴路399弄2号大润发1层,121.28862857367758,31.212343214291977
肯德基(星宝店),漕宝路1574号(漕宝购物中心2楼),121.3743081418672,31.159134696387206
肯德基(万达广场颛桥店),颛桥镇颛兴东路1559号万达广场(颛桥店)F1层1026A,121.40235308249908,31.07261506273943
肯德基(虹许店),吴中路729、769号苏宁电器1-2层,121.38943256961325,31.1819999729298
肯德基(阳光港店),华侨城投资发展有限公司园区内阳光港商业街,121.49875764886536,31.097310990405408
肯德基(江文路店),江文路589号1层,121.53058292210899,31.062959110354896
肯德基(都市店),都市路3975号龙盛国际商业广场1层,121.39436142916001,31.087091639532385
肯德基(七宝华润万家店),七莘路3155号华润万家超市七宝店1层,121.34193038718135,31.159508642881875
肯德基(龙柏店),红松路505号(近黄桦路),121.35970353378879,31.182067313894233
肯德基(贵都店),都市路3366号1层S2,121.3997989405067,31.080139411130776
肯德基(颛桥店),颛兴路89、93、113号1-2层,121.39446197670065,31.069072848467577
肯德基(龙茗店),古美路街道闵行区龙茗路1048号一层、二层,121.38229232487565,31.14046515785671
肯德基(七莘店),莘庄镇七莘路695号,121.36756587085542,31.120817343708744
肯德基(申月店),江月路1853号浦江城市生活广场1层,121.50037952631571,31.08484584163886
肯德基(闵行店),江川路279号(近兰坪路),121.415186564686,31.00570824407957
肯德基(仲盛世界商城),都市路5001号仲盛世界商城B1层B1F04,121.38322131778017,31.10973526796275
